City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Hovd,MN,48.01,91.64,69.55,48,13,2.84,few clouds
330,Opuwo,NA,-18.06,13.84,55.24,40,0,8.66,clear sky
331,Lom Sak,TH,16.78,101.24,78.69,94,40,0,scattered clouds
332,Haines Junction,CA,60.75,-137.51,53.55,87,100,3.44,overcast clouds
333,Saskylakh,RU,71.92,114.08,58.96,61,98,8.77,overcast clouds
334,Hambantota,LK,6.12,81.12,79.14,100,100,6.91,overcast clouds
335,Finnsnes,NO,69.23,17.98,48.81,94,95,3.49,overcast clouds
336,General Roca,AR,-39.03,-67.58,43.2,41,0,14,clear sky
337,San Policarpo,PH,12.18,125.51,89.55,58,88,11.27,overcast clouds
338,Arroio Grande,BR,-32.24,-53.09,49.37,88,100,10.16,overcast clouds
339,Prince Rupert,CA,54.32,-130.32,57.29,88,90,2.3,light rain
340,Asfi,MA,32.30,-9.24,68.14,88,22,15.79,few clouds
341,Wana,PK,32.30,69.57,84.61,52,98,3.2,overcast clouds
342,Emerald,AU,-23.53,148.17,69.35,42,0,10.36,clear sky
343,Csorna,HU,47.61,17.25,75.29,75,13,8.59,few clouds
344,Rosetta,EG,31.40,30.42,76.82,70,0,6.17,clear sky
345,La Paz,BO,-16.50,-68.15,44.58,36,20,5.75,few clouds
346,Grand Gaube,MU,-20.01,57.66,68.4,88,95,5.99,light rain
347,Pachino,IT,36.72,15.09,81.59,68,0,7.99,clear sky
348,Poronaysk,RU,49.22,143.12,71.65,82,98,9.19,overcast clouds
349,Cardston,CA,49.20,-113.30,88.41,23,100,10.36,overcast clouds
350,Morondava,MG,-20.28,44.28,65.48,68,43,14.45,scattered clouds
351,Dubbo,AU,-32.25,148.62,60.93,51,58,14.97,broken clouds
352,Malakal,SS,9.53,31.66,68.95,91,99,2.93,overcast clouds
353,Ouesso,CG,1.61,16.05,74.73,72,99,1.68,overcast clouds
354,Sao Joao,BR,-8.88,-36.37,61.57,98,29,2.44,scattered clouds
355,Ust-Kuyga,RU,70.02,135.60,58.78,46,1,17.18,clear sky
356,Estelle,US,29.85,-90.11,89.6,66,75,3.44,broken clouds
357,Vilcun,CL,-38.65,-72.23,34.54,96,22,1.52,few clouds
358,Gamba,GA,-2.65,10.00,70.9,89,90,2.75,overcast clouds
359,Portland,US,45.52,-122.68,89.62,44,40,5.01,scattered clouds
360,Melilla,ES,35.29,-2.94,70.18,88,0,3.44,clear sky
361,Karasjok,NO,69.47,25.51,37.51,78,19,3.98,few clouds
